custId,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,mobile,email,fax
1,"Customer NRZBB","Allen, Michael","Sales Representative","Obere Str. 0123",Berlin,NULL,10092,Germany,030-3456789,NULL,NULL,030-0123456
2,"Customer MLTDN","Hassall, Mark",Owner,"Avda. de la Constitución 5678","México D.F.",NULL,10077,Mexico,"(5) 789-0123",NULL,NULL,"(5) 456-7890"
3,"Customer KBUDE","Peoples, John",Owner,"Mataderos  7890","México D.F.",NULL,10097,Mexico,"(5) 123-4567",NULL,NULL,NULL
4,"Customer HFBZG","Arndt, Torsten","Sales Representative","7890 Hanover Sq.",London,NULL,10046,UK,"(171) 456-7890",NULL,NULL,"(171) 456-7891"
5,"Customer HGVLZ","Higginbotham, Tom","Order Administrator","Berguvsvägen  5678",Luleå,NULL,10112,Sweden,"0921-67 89 01",NULL,NULL,"0921-23 45 67"
6,"Customer XHXJV","Poland, Carole","Sales Representative","Forsterstr. 7890",Mannheim,NULL,10117,Germany,0621-67890,NULL,NULL,0621-12345
7,"Customer QXVLA","Bansal, Dushyant","Marketing Manager","2345, place Kléber",Strasbourg,NULL,10089,France,67.89.01.23,NULL,NULL,67.89.01.24
8,"Customer QUHWH","Ilyina, Julia",Owner,"C/ Araquil, 0123",Madrid,NULL,10104,Spain,"(91) 345 67 89",NULL,NULL,"(91) 012 34 56"
9,"Customer RTXGC","Raghav, Amritansh",Owner,"6789, rue des Bouchers",Marseille,NULL,10105,France,23.45.67.89,NULL,NULL,23.45.67.80
10,"Customer EEALV","Bassols, Pilar Colome","Accounting Manager","8901 Tsawassen Blvd.",Tsawassen,BC,10111,Canada,"(604) 901-2345",NULL,NULL,"(604) 678-9012"
11,"Customer UBHAU","Jaffe, David","Sales Representative","Fauntleroy Circus 4567",London,NULL,10064,UK,"(171) 789-0123",NULL,NULL,NULL
12,"Customer PSNMQ","Ray, Mike","Sales Agent","Cerrito 3456","Buenos Aires",NULL,10057,Argentina,"(1) 890-1234",NULL,NULL,"(1) 567-8901"
13,"Customer VMLOG","Benito, Almudena","Marketing Manager","Sierras de Granada 7890","México D.F.",NULL,10056,Mexico,"(5) 456-7890",NULL,NULL,"(5) 123-4567"
14,"Customer WNMAF","Jelitto, Jacek",Owner,"Hauptstr. 0123",Bern,NULL,10065,Switzerland,0452-678901,NULL,NULL,NULL
15,"Customer JUWXK","Richardson, Shawn","Sales Associate","Av. dos Lusíadas, 6789","Sao Paulo",SP,10087,Brazil,"(11) 012-3456",NULL,NULL,NULL
16,"Customer GYBBY","Birkby, Dana","Sales Representative","Berkeley Gardens 0123 Brewery",London,NULL,10039,UK,"(171) 234-5678",NULL,NULL,"(171) 234-5679"
17,"Customer FEVNN","Jones, TiAnna","Order Administrator","Walserweg 4567",Aachen,NULL,10067,Germany,0241-789012,NULL,NULL,0241-345678
18,"Customer BSVAR","Rizaldy, Arif",Owner,"3456, rue des Cinquante Otages",Nantes,NULL,10041,France,89.01.23.45,NULL,NULL,89.01.23.46
